profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree
118,XLRI Jamshedpur,"Master of Business Administration (M.B.A.), Marketing and Finance",2013,2015
118,Indian Institute of Space Science and Technology,"B.Tech, Aerospace engineering",2007,2011
119,Osmania University,"BE, Electrical",1900,1900
119,University of North Texas,"Master of Science (M.S.), Electrical Engineering",1900,1900
119,Cornell University,Executive Leadership and Decision Making,2015,2015
120,Delhi Public School - R. K. Puram,,1996,2008
120,"Indian Institute of Technology, Delhi","Minor Degree in Business Management, Business Administration and Management, General",2008,2013
120,"Indian Institute of Technology, Delhi","Bachelor of Technology (B.Tech) and Master of Technology (M.Tech), Chemical Engineering",2008,2013
121,University of South Florida,"Master's Degree, Management Information Systems",2014,2015
121,Rajiv Gandhi Technical University,"Bachelor of Engineering (B.Eng.), Computer Science",2005,2009
122,Northwestern University - Kellogg School of Management,Master of Business Administration (MBA),2017,2019
122,International Baccalaureate,"High School, International School of Beaverton",2006,2010
122,The University of Texas at Austin,"Bachelor's Degree with Highest Honors, Chemical Engineering",2010,2014
124,ITESO Universidad Jesuita de Guadalajara,"Bachelor of Science (B.S.), Chemical Engineering",2000,2004
124,The University of Texas at Austin,"Doctor of Philosophy (Ph.D.), Chemical Engineering",2011,2016
124,Universidad de Guadalajara,"Master of Science (M.S.), Chemical Engineering",2005,2007
125,Indian Institute of Management Ahmedabad,"MBA, Management",2011,2013
125,"Indian Institute of Technology, Delhi","B.Tech, Mechanical Engineering",2004,2008
125,Ramjas,,1999,2004
126,"Indian Institute of Technology, Kharagpur","Dual Degree (B.Tech + M.Tech), Electronics & Electrical Communication Engineering",2005,2010
126,Schulich School of Business - York University,"Exchange Student, MBA",2011,2012
126,Indian Institute of Management Bangalore,"PGDM, Management",2010,2012
127,DPS Ranchi,,1993,2005
127,"Indian Institute of Technology, Kharagpur","Bachelor of Technology (BTech) (Hons.) Instrumentation, Electrical, Electronics and Communications Engineering",2005,2009
127,Indian School of Business,"Master of Business Administration (MBA), Operations",2014,2015
129,"Management Development Institute, Gurgaon","Master of Business Administration (M.B.A.), Marketing, Finance",1900,1900
129,Kurukshetra University,"Bachelor of Technology (B.Tech.), Electronics & Communication Engineering",1900,1900
130,Institute and Faculty of Actuaries,,1900,1900
130,The Institute of Chartered Accountants of India,All India Rank 1 (May 2014),1900,1900
131,Veermata Jijabai Technological Institute (VJTI),"Bachelor of Technology (B.Tech.), Computer Engineering",2007,2011
131,Indian Institute of Management Ahmedabad,Master of Business Administration (MBA),2012,2014
131,Ramnivas Ruia Junior College,Higher Secondary Certificate,2005,2007
132,XLRI Jamshedpur,"MBA, Finance",2010,2012
132,"Indian Institute of Technology, Bombay","Bachelor of Technology (B.Tech.), Electrical Engineering",2004,2008
132,"Birla High School, kolkata",,1900,1900
133,University of St.Gallen,"International Study Programme, Business Administration and Management, General",2014,2014
133,The Institute of Chartered Accountants of India,"Chartered Accountant, Accounting and Finance",2007,2011
133,"Indian Institute of Management, Lucknow","Master of Business Administration (MBA), Finance and Strategy",2013,2015
134,Netaji Subhas Institute of Technology,"B.E., Electronics and Communication",2007,2011
134,Texas McCombs School of Business,"Master of Business Administration (MBA), Exchange Student",2014,2014
134,Indian Institute of Management Ahmedabad,"Master of Business Administration (MBA), Business Administration and Management, General",2013,2015
135,Technische Universität Berlin,"Bachelor of Engineering (B.Eng.), Mechanical Engineering",2010,2010
135,Northwestern University - Kellogg School of Management,Master of Business Administration (M.B.A.),2015,2017
135,National University of Singapore,"Bachelor of Engineering (Honors), Mechanical Engineering",2007,2011
136,University of Virginia Darden School of Business,Master of Business Administration (M.B.A.),2015,2017
136,The George Washington University School of Business,"B.B.A., Finance & International Business",1900,1900
137,"Indian Institute of Technology, Roorkee","Integrated Dual Degree (B.Tech + M.Tech), Computer Science",2007,2012
137,Indian Institute of Management Ahmedabad,Master of Business Administration (MBA),2013,2015
137,University of Cologne,"Exchange Semester, Business Administration and Management",2014,2014
138,MIT Sloan School of Management,"Master of Business Administration - MBA, Business Administration and Management, General",2016,2018
138,Massachusetts Institute of Technology,"Bachelor of Science - BS, Mathematics",2008,2012
139,"Indian Institute of Technology, Bombay","Bachelor of Engineering, Civil Engineering Technology",1900,1900
139,Delhi Public School - R. K. Puram,,1900,1900
140,The University of Chicago Booth School of Business,Master of Business Administration (MBA),1900,1900
140,Dhirubhai Ambani Institute of Information and Communication Technology,"Bachelor of Technology (B.Tech.), ICT",1900,1900
141,Thapar Institute of Engineering & Technology,"Bachelor’s Degree, Chemical Engineering",1999,2003
141,"Institute of Management Technology, Ghaziabad","Master of Business Administration (M.B.A.), Marketing/ Finance",2006,2008
142,"Rayat Institute of engg. & Information Technology, Railmajra","Bachelor of Technology - BTech, Mechanical Engineering",2004,2008
142,"Government Model Sr Sec School, Sector 35, Chandigarh",Non- Medical,2002,2004
142,Faculty of Management Studies - University of Delhi,"MBA, Marketing, Finance, Operations",2011,2013
143,"Indian Institute of Technology, Kanpur","Bachelor of Technology (B.Tech.), Electrical Engineering",2008,2012
143,CentraleSupélec,Summer Internship,2010,2010
143,Indian Institute of Management Ahmedabad,"Master of Business Administration (MBA), Management",2012,2014
145,University of Virginia Darden School of Business,Master of Business Administration (M.B.A.),2016,2018
145,Harvard Business School Online,CORe Credential of Readiness,2015,2015
145,Bryn Mawr College,"Bachelor's Degree, Mathematics, Creative Writing",2009,2013
147,University of Pennsylvania,"Bachelor of Science (BS), Mechanical Engineering",2010,2014
147,Columbia University,"Master's Degree, Mechanical Engineering",2014,2015
148,The Wharton School,"Master of Business Administration - MBA, Strategic Management & Business Analytics",2016,2018
148,UC Santa Barbara,"Bachelor’s Degree, Economics & Accounting",2007,2011
149,Yale School of Management,"Master of Business Administration (M.B.A.), Business Administration and Management, General",2016,2018
149,Harvard University,"Bachelor of Arts, Economics",2012,2016
149,European School of Brussels,European Baccalaureate,2000,2012
150,Nanyang Technological University Singapore,"Student Exchange Program, Mechanical",2012,2012
